,id,full_name,first_name,last_name,is_active
3753,2143,Pepe Sanchez,Pepe,Sanchez,False
3754,78057,Frankie Sanders,Frankie,Sanders,False
3755,1874,Jeff Sanders,Jeff,Sanders,False
3756,202336,Larry Sanders,Larry,Sanders,False
3757,2684,Melvin Sanders,Melvin,Sanders,False
3758,78059,Mike Sanders,Mike,Sanders,False
3759,78060,Thomas Sanders,Thomas,Sanders,False
3760,2091,Daniel Santiago,Daniel,Santiago,False
3761,78061,Bob Santini,Bob,Santini,False
3762,78062,Wayne Sappleton,Wayne,Sappleton,False
3763,203967,Dario Saric,Dario,Saric,True
3764,1630846,Olivier Sarr,Olivier,Sarr,True
3765,987,Jason Sasser,Jason,Sasser,False
3766,2219,Jeryl Sasser,Jeryl,Sasser,False
3767,203107,Tomas Satoransky,Tomas,Satoransky,False
3768,2261,Kenny Satterfield,Kenny,Satterfield,False
3769,78063,Frank Saul,Frank,Saul,False
3770,78064,Woody Sauldsberry,Woody,Sauldsberry,False
3771,78065,Fred Saunders,Fred,Saunders,False
3772,78066,Don Savage,Don,Savage,False
3773,2453,Predrag Savovic,Predrag,Savovic,False
3774,78067,Alan Sawyer,Alan,Sawyer,False
3775,2243,Brian Scalabrine,Brian,Scalabrine,False
3776,2637,Alex Scales,Alex,Scales,False
3777,78068,Dewayne Scales,Dewayne,Scales,False
3778,78069,Frank Schade,Frank,Schade,False
3779,78070,Ben Schadler,Ben,Schadler,False
3780,78071,Herm Schaefer,Herm,Schaefer,False
3781,78072,Bob Schafer,Bob,Schafer,False
3782,1630648,Jordan Schakel,Jordan,Schakel,True
3783,78073,Ben Scharnus,Ben,Scharnus,False
3784,78074,Marv Schatzman,Marv,Schatzman,False
3785,78075,Fred Schaus,Fred,Schaus,False
3786,7,Dan Schayes,Dan,Schayes,False
3787,78076,Dolph Schayes,Dolph,Schayes,False
3788,78078,Ossie Schectman,Ossie,Schectman,False
3789,88,Steve Scheffler,Steve,Scheffler,False
3790,78080,Tom Scheffler,Tom,Scheffler,False
3791,78081,Dave Schellhase,Dave,Schellhase,False
3792,101195,Luke Schenscher,Luke,Schenscher,False
3793,78082,Herb Scherer,Herb,Scherer,False
3794,368,Dwayne Schintzius,Dwayne,Schintzius,False
3795,78084,Dale Schlueter,Dale,Schlueter,False
3796,78085,Otto Schnellbacher,Otto,Schnellbacher,False
3797,78086,Dick Schnittker,Dick,Schnittker,False
3798,78087,Russ Schoene,Russ,Schoene,False
3799,1629678,Admiral Schofield,Admiral,Schofield,True
3800,78088,Dave Scholz,Dave,Scholz,False
3801,78089,Milt Schoon,Milt,Schoon,False
3802,96,Detlef Schrempf,Detlef,Schrempf,False
3803,203471,Dennis Schroder,Dennis,Schroder,True
3804,78091,Howie Schultz,Howie,Schultz,False
3805,78092,Dick Schulz,Dick,Schulz,False
3806,78093,John Schweitz,John,Schweitz,False
3807,2449,Luis Scola,Luis,Scola,False
3808,78094,Freddie Scolari,Freddie,Scolari,False
3809,78095,Alvin Scott,Alvin,Scott,False
3810,1064,Brent Scott,Brent,Scott,False
3811,2,Byron Scott,Byron,Scott,False
3812,78097,Charlie Scott,Charlie,Scott,False
3813,192,Dennis Scott,Dennis,Scott,False
3814,1109,James Scott,James,Scott,False
3815,203118,Mike Scott,Mike,Scott,False
3816,78100,Ray Scott,Ray,Scott,False
3817,1035,Shawnelle Scott,Shawnelle,Scott,False
3818,1630286,Trevon Scott,Trevon,Scott,False
3819,1630206,Jay Scrubb,Jay,Scrubb,False
3820,78102,Carey Scurry,Carey,Scurry,False
3821,1631220,Dereon Seabron,Dereon,Seabron,True
3822,78103,Bruce Seals,Bruce,Seals,False
3823,1578,Shea Seals,Shea,Seals,False
3824,907,Malik Sealy,Malik,Sealy,False
3825,78105,Ed Searcy,Ed,Searcy,False
3826,78106,Ken Sears,Ken,Sears,False
3827,78107,Wayne See,Wayne,See,False
3828,200757,Thabo Sefolosha,Thabo,Sefolosha,False
3829,938,Rony Seikaly,Rony,Seikaly,False
3830,78109,Glen Selbo,Glen,Selbo,False
3831,202729,Josh Selby,Josh,Selby,False
3832,1627782,Wayne Selden,Wayne,Selden,False
3833,78110,Brad Sellers,Brad,Sellers,False
3834,78111,Phil Sellers,Phil,Sellers,False
3835,78112,Rollie Seltz,Rollie,Seltz,False
3836,78113,Frank Selvy,Frank,Selvy,False
3837,78114,Jim Seminoff,Jim,Seminoff,False
3838,200754,Mouhamed Sene,Mouhamed,Sene,False
3839,78115,George Senesky,George,Senesky,False
3840,1630578,Alperen Sengun,Alperen,Sengun,True
3841,202338,Kevin Seraphin,Kevin,Seraphin,False
3842,1738,Ansu Sesay,Ansu,Sesay,False
3843,201196,Ramon Sessions,Ramon,Sessions,False
3844,78116,Tom Sewell,Tom,Sewell,False
3845,1629012,Collin Sexton,Collin,Sexton,True
3846,78117,Paul Seymour,Paul,Seymour,False
3847,78118,Nick Shaback,Nick,Shaback,False
3848,1593,Charles Shackleford,Charles,Shackleford,False
3849,78120,Carl Shaeffer,Carl,Shaeffer,False
3850,78121,Lee Shaffer,Lee,Shaffer,False
3851,201203,Mustafa Shakur,Mustafa,Shakur,False
3852,1629013,Landry Shamet,Landry,Shamet,True
3853,1539,God Shammgod,God,Shammgod,False
3854,78123,Earl Shannon,Earl,Shannon,False
3855,78124,Howie Shannon,Howie,Shannon,False
3856,78125,Charlie Share,Charlie,Share,False
3857,78126,Bill Sharman,Bill,Sharman,False
3858,1630549,Day'Ron Sharpe,Day'Ron,Sharpe,True
3859,1631101,Shaedon Sharpe,Shaedon,Sharpe,True
3860,201594,Walter Sharpe,Walter,Sharpe,False
3861,1117,John Shasky,John,Shasky,False
3862,78128,Ron Shavlik,Ron,Shavlik,False
3863,216,Brian Shaw,Brian,Shaw,False
3864,1745,Casey Shaw,Casey,Shaw,False
3865,1629621,Marial Shayok,Marial,Shayok,False
3866,78130,Bob Shea,Bob,Shea,False
3867,78131,Fred Sheffield,Fred,Sheffield,False
3868,78132,Craig Shelton,Craig,Shelton,False
3869,78133,Lonnie Shelton,Lonnie,Shelton,False
3870,203129,Tornike Shengelia,Tornike,Shengelia,False
3871,1852,Jeff Sheppard,Jeff,Sheppard,False
3872,78135,Steve Sheppard,Steve,Sheppard,False
3873,78136,Edmund Sherod,Edmund,Sherod,False
3874,78653,Charlie Shipp,Charlie,Shipp,False
3875,2321,Paul Shirley,Paul,Shirley,False
3876,78138,Gene Short,Gene,Short,False
3877,78139,Purvis Short,Purvis,Short,False
3878,78140,Dexter Shouse,Dexter,Shouse,False
3879,78141,Dick Shrider,Dick,Shrider,False
3880,78142,Gene Shue,Gene,Shue,False
3881,78143,John Shumate,John,Shumate,False
3882,202697,Iman Shumpert,Iman,Shumpert,False
3883,203144,Alexey Shved,Alexey,Shved,False
3884,1627783,Pascal Siakam,Pascal,Siakam,True
3885,1626296,Jordan Sibert,Jordan,Sibert,False
3886,78144,Sam Sibert,Sam,Sibert,False
3887,78145,Mark Sibley,Mark,Sibley,False
3888,78146,Jerry Sichting,Jerry,Sichting,False
3889,78147,Larry Siegfried,Larry,Siegfried,False
3890,78148,Ralph Siewert,Ralph,Siewert,False
3891,78149,Jack Sikma,Jack,Sikma,False
3892,78150,James Silas,James,Silas,False
3893,78151,Paul Silas,Paul,Silas,False
3894,202918,Xavier Silas,Xavier,Silas,False
3895,202081,Garret Siler,Garret,Siler,False
3896,78152,Mike Silliman,Mike,Silliman,False
3897,1629735,Chris Silva,Chris,Silva,True
3898,101134,Wayne Simien,Wayne,Simien,False
3899,1627732,Ben Simmons,Ben,Simmons,True
3900,2250,Bobby Simmons,Bobby,Simmons,False
3901,200759,Cedric Simmons,Cedric,Simmons,False
